ID,Nama Pekerjaan,Bidang Pekerjaan,Deskripsi Diri
1,Petugas Kebersihan Kamar (DW),Pelayanan,Melaksanakan dengan teliti dan penuh tanggung jawab tugas-tugas pemeliharaan kebersihan ruangan serta memberikan layanan yang prima kepada tamu di lingkungan penginapan.
2,Petugas Kebersihan Kamar (DW),Pelayanan,Menjaga standar kebersihan yang tinggi dan memberikan perhatian detail dalam membereskan kamar serta fasilitas umum untuk memastikan kenyamanan maksimal bagi pengunjung.
3,Petugas Kebersihan Kamar (DW),Pelayanan,"Melakukan tugas-tugas rutin pembersihan dengan cermat dan efisien, serta memberikan layanan yang ramah dan membantu kepada tamu penginapan untuk memenuhi kebutuhan mereka."
4,Asisten Baking dan Formulasi (DW),Pelayanan,Mendukung proses pembuatan produk roti dan kue dengan memastikan bahan-bahan berkualitas dan formulasi yang tepat sesuai standar yang ditetapkan.
5,Asisten Baking dan Formulasi (DW),Pelayanan,Berperan dalam mengembangkan resep-resep baru serta membantu dalam tahap formulasi untuk menciptakan produk roti dan kue yang inovatif dan berkualitas tinggi.
6,Asisten Baking dan Formulasi (DW),Pelayanan,"Menjadi bagian integral dalam tim produksi, memberikan kontribusi dalam penyesuaian formulasi untuk memastikan konsistensi rasa dan kualitas produk roti dan kue yang dihasilkan."
7,Sopir Gudang,Logistik,Mengemudikan kendaraan dengan keahlian dan keamanan tingkat tinggi untuk mengantarkan dan mengambil barang sesuai jadwal yang ditetapkan di area gudang.
8,Sopir Gudang,Logistik,"Bertanggung jawab atas transportasi barang dengan cermat dan tepat waktu, memastikan pengiriman dan pengambilan barang dari gudang dilakukan dengan efisiensi."
9,Sopir Gudang,Logistik,"Melaksanakan tugas sebagai pengemudi dengan fokus pada keamanan dan ketepatan waktu, menjaga kondisi kendaraan dan memastikan pengiriman barang dari dan ke gudang dilakukan dengan optimal."
10,Agen Penjualan Harian,Penjualan,"Mengelola dengan cermat aktivitas penjualan harian, termasuk prospeksi, interaksi pelanggan, dan pengelolaan pesanan untuk memperoleh peningkatan penjualan yang konsisten."
11,Agen Penjualan Harian,Penjualan,"Merekam dan menganalisis data penjualan harian secara teliti guna mengidentifikasi tren dan peluang, memperkuat strategi penjualan."
12,Agen Penjualan Harian,Penjualan,Melacak metrik penjualan harian serta mengadaptasi pendekatan penjualan berdasarkan informasi tersebut untuk mencapai hasil penjualan yang optimal.
13,Pengajar Biologi Freelencer,Pendidikan,"Memberikan pengajaran atau bimbingan dalam bidang biologi secara fleksibel sesuai kebutuhan, untuk mendukung pemahaman yang mendalam pada siswa."
14,Pengajar Biologi Freelencer,Pendidikan,"Mengajar topik-topik biologi dengan pendekatan yang adaptif dan kreatif, memberikan pembelajaran yang menarik serta mendukung perkembangan pemahaman konsep-konsep biologis."
15,Pengajar Biologi Freelencer,Pendidikan,"Menyediakan layanan pengajaran mandiri dalam biologi dengan pendekatan yang personal dan mendalam, membantu siswa memahami materi dengan lebih baik sesuai dengan tingkat pemahaman masing-masing."
16,TikTok Content Talent/Model Freelancer,Media,"Menciptakan konten TikTok yang kreatif dan menarik, menampilkan keahlian dan kepribadian yang menghibur untuk meningkatkan keterlibatan pengikut."
17,TikTok Content Talent/Model Freelancer,Media,"Menjadi model atau bakat dalam konten TikTok, menghadirkan pesona dan kreativitas dalam setiap produksi konten untuk menarik perhatian audiens."
18,TikTok Content Talent/Model Freelancer,Media,"Mengembangkan konten yang menarik dan menghibur di TikTok, membangun keterlibatan yang kuat dengan pengikut melalui penampilan dan konsep konten yang inovatif."
19,Pengajar Bimbel Freelencer,Pendidikan,"Memberikan pengajaran yang personal dan adaptif di bimbingan belajar sesuai kebutuhan siswa, memberikan pendampingan yang efektif dalam proses pembelajaran."
20,Pengajar Bimbel Freelencer,Pendidikan,"Menciptakan pengalaman pembelajaran yang interaktif dan menyenangkan di bimbingan belajar, mendukung pemahaman konsep-konsep pelajaran dengan cara yang menarik."
21,Pengajar Bimbel Freelencer,Pendidikan,"Menyediakan layanan pengajaran freelance yang fleksibel di bimbingan belajar, membantu siswa mempersiapkan diri dengan pendekatan yang sesuai dan efisien sesuai kurikulum yang ada."
22,DW Food & Beverage Service,Pelayanan,"Menyajikan layanan makanan dan minuman dengan presisi serta fokus pada kualitas di beragam acara dan tempat, memastikan pengalaman bersantap yang luar biasa bagi para tamu."
23,DW Food & Beverage Service,Pelayanan,"Mengkoordinasikan dengan cermat layanan makanan dan minuman yang superior di berbagai lokasi dan acara, memperhatikan detail untuk menciptakan pengalaman kuliner yang istimewa."
24,DW Food & Beverage Service,Pelayanan,"Bertanggung jawab atas penyajian makanan dan minuman yang berkualitas tinggi, menyesuaikan layanan sesuai kebutuhan acara dan memberikan pengalaman bersantap yang memuaskan bagi semua tamu."
25,Tukang Kasir (Shopkeeper),Pelayanan,"Memastikan transaksi keuangan yang akurat dan memberikan layanan pelanggan yang ramah, menciptakan pengalaman berbelanja yang lancar dan memuaskan di toko."
26,Tukang Kasir (Shopkeeper),Pelayanan,"Mengelola dengan cermat transaksi keuangan dan memberikan pelayanan yang responsif kepada pelanggan, menciptakan lingkungan berbelanja yang menyenangkan."
27,Tukang Kasir (Shopkeeper),Pelayanan,"Menjaga kelancaran transaksi keuangan dan memberikan pelayanan efisien kepada pelanggan, menjadikan proses berbelanja lebih nyaman dan mudah di toko."
28,Cleaning Service,Pelayanan,"Melaksanakan tugas-tugas kebersihan dengan teliti dan efisien di berbagai area, memastikan lingkungan yang bersih dan teratur sesuai standar."
29,Cleaning Service,Pelayanan,"Bertanggung jawab atas pemeliharaan kebersihan di tempat kerja, menangani beragam tugas pembersihan dengan fokus pada kualitas dan kebersihan lingkungan."
30,Cleaning Service,Pelayanan,"Menyediakan layanan kebersihan yang konsisten dan terperinci, memastikan area-area tertentu tetap bersih dan rapi untuk menciptakan lingkungan yang nyaman bagi pengguna fasilitas."
31,Steward (DW),Pelayanan,"Menjaga kebersihan dapur dan peralatan makanan dengan cermat, termasuk membersihkan peralatan, perangkat, dan area kerja secara teratur."
32,Steward (DW),Pelayanan,"Bertanggung jawab atas pencucian, penyimpanan, dan ketersediaan peralatan makanan yang bersih dan steril sesuai dengan standar kebersihan yang ditetapkan."
33,Steward (DW),Pelayanan,"Memastikan pemeliharaan kebersihan dapur, termasuk pembuangan sampah, sanitasi area kerja, dan penataan kembali peralatan makan setelah digunakan."
34,Daily Worker Runner,Pelayanan,"Melayani dan mencatat pesanan pelanggan dengan ramah, serta menyajikan makanan dan minuman sesuai dengan permintaan dengan penuh perhatian."
35,Daily Worker Runner,Pelayanan,"Menawarkan menu kepada pelanggan, mencatat pesanan dengan akurat, dan memberikan pelayanan yang ramah serta menyajikan hidangan sesuai dengan keinginan pelanggan."
36,Daily Worker Runner,Pelayanan,"Memberikan pelayanan yang baik kepada pelanggan dengan menerima pesanan, mencatat dengan tepat, dan menyajikan hidangan serta minuman dengan cermat sesuai permintaan."
37,Videographer Freelence,Media,"Memproduksi, mengambil gambar, dan mengedit video dengan keahlian untuk menciptakan konten visual yang menarik dan berkualitas."
38,Videographer Freelence,Media,Menangkap momen-momen kreatif serta mengolahnya menjadi video yang menarik dengan menggunakan peralatan dan teknik pengeditan yang tepat.
39,Videographer Freelence,Media,Menghasilkan konten visual yang menginspirasi dan informatif melalui pengambilan gambar dan penyuntingan video yang kreatif dan berkualitas tinggi.
40,Cook (DW),Pelayanan,Mengolah berbagai hidangan dengan ketelitian dan kreativitas sesuai standar dapur untuk memastikan kualitas makanan yang konsisten.
41,Cook (DW),Pelayanan,"Menyajikan hidangan lezat dengan keahlian dan perhatian terhadap detail, menciptakan pengalaman kuliner yang memuaskan."
42,Cook (DW),Pelayanan,"Bertanggung jawab atas proses memasak dengan fokus pada kualitas dan rasa, memenuhi harapan akan cita rasa yang konsisten dari setiap hidangan yang disajikan."
43,Harian Lepas Gudang,Logistik,"Memenuhi tugas-tugas gudang harian seperti pengemasan, pengangkutan barang, atau inventarisasi sesuai kebutuhan yang ditentukan."
44,Harian Lepas Gudang,Logistik,"Melakukan berbagai pekerjaan di area gudang termasuk pemindahan barang, pengemasan, atau mempersiapkan pengiriman sesuai instruksi yang diberikan."
45,Harian Lepas Gudang,Logistik,"Menyokong operasional gudang dengan melakukan tugas-tugas seperti pengangkutan, penataan barang, atau membantu dalam proses pengiriman barang."
46,Waiter (DW),Pelayanan,Memberikan pelayanan meja yang ramah dan efisien kepada pelanggan dengan memahami menu dan memastikan kebutuhan pelanggan terpenuhi.
47,Waiter (DW),Pelayanan,Bertanggung jawab atas layanan meja dan memastikan pengalaman bersantap yang memuaskan dengan kecepatan dan keramahan.
48,Waiter (DW),Pelayanan,"Menyediakan pelayanan yang profesional dan responsif kepada pelanggan, memastikan keseluruhan pengalaman bersantap yang menyenangkan dan nyaman."
49,Front Office (DW),Pelayanan,"Mengelola resepsionis dengan penuh tanggung jawab, memberikan pelayanan ramah kepada tamu dan menangani administrasi secara efisien."
50,Front Office (DW),Pelayanan,"Menyambut tamu dengan ramah, memberikan informasi yang dibutuhkan, serta menjalankan tugas administratif front office dengan cermat."
51,Front Office (DW),Pelayanan,"Bertanggung jawab atas penerimaan tamu dengan keramahan, menangani pertanyaan, serta menjalankan tugas administratif front office sesuai prosedur yang ditetapkan."
52,Event Stock Inventory,Logistik,"Mengelola inventaris untuk acara dengan teliti, memastikan ketersediaan dan kelengkapan barang-barang yang diperlukan selama berlangsungnya acara."
