ID,Bidang Pekerjaan,Deskripsi Diri
1,Pelayanan,Saya memiliki pengalaman dalam membersihkan dan merapikan kamar tamu serta area umum hotel.
2,Pelayanan,Saya memiliki pengalaman dalam membantu dalam proses pembuatan dan formulasi produk roti dan kue.
3,Logistik,Saya memiliki pengalaman dalam mengemudikan truk gudang dan memastikan barang sampai ke tujuan dengan aman dan tepat waktu.
4,Penjualan,Saya memiliki pengalaman dalam menjual produk atau layanan kepada pelanggan secara harian.
5,Pendidikan,"Saya adalah pengajar biologi freelance yang berpengalaman, mampu menjelaskan konsep-konsep biologi dengan cara yang mudah dipahami."
6,Media,Saya adalah seorang talenta konten TikTok dan model freelancer yang berpengalaman dalam membuat dan mempromosikan konten yang menarik dan menghibur.
7,Pendidikan,"Saya adalah pengajar bimbel yang berpengalaman, mampu membantu siswa memahami materi pelajaran dan mempersiapkan mereka untuk ujian."
8,Manajemen,"Saya memiliki pengalaman dalam akuisisi toko, termasuk mencari dan menegosiasikan kesepakatan dengan pemilik toko."
9,Pelayanan,"Saya memiliki pengalaman dalam memberikan layanan kebersihan, termasuk membersihkan dan merawat berbagai area dan fasilitas."
10,Pelayanan,Saya memiliki pengalaman dalam menyediakan layanan makanan dan minuman yang luar biasa di berbagai acara dan tempat.
11,Pelayanan,"Saya memiliki pengalaman dalam bekerja di outlet ritel, membantu pelanggan, merapikan barang, dan menjaga toko tetap bersih dan rapi."
12,Pelayanan,"Saya memiliki pengalaman dalam menjadi tuan rumah siaran langsung, menjaga percakapan tetap menarik, dan berinteraksi dengan penonton."
13,Pelayanan,"Saya memiliki pengalaman dalam mengelola transaksi keuangan di toko, membantu pelanggan, dan menjaga toko tetap rapi."
14,Media,"Saya memiliki kemampuan dalam membuat video yang menarik. Saya dapat merencanakan, merekam, dan mengedit video untuk berbagai tujuan, seperti promosi, dokumentasi, atau hiburan."
15,Pelayanan,"Saya adalah koki harian yang berpengalaman, mampu memasak berbagai jenis makanan dan menjaga dapur tetap bersih dan rapi."
16,Logistik,"Saya adalah pekerja harian lepas gudang yang berpengalaman, mampu melakukan berbagai tugas gudang, termasuk memuat dan membongkar barang."
17,Pelayanan,"Saya adalah pelayan harian yang berpengalaman, mampu melayani pelanggan di restoran atau kafe dan menjaga area makan tetap bersih dan rapi."
18,Pelayanan,"Saya adalah petugas front office harian yang berpengalaman, mampu memberikan layanan pelanggan yang luar biasa di hotel dan menjaga resepsionis tetap rapi dan terorganisir."
19,Logistik,"Saya memiliki pengalaman dalam mengelola inventaris acara, termasuk melacak dan memeriksa stok barang dan memastikan semua barang tersedia untuk acara."
20,Media,"Saya adalah seorang pembuat konten yang berpengalaman, mampu membuat dan mempromosikan konten yang menarik dan menghibur di berbagai platform media."
21,Pendidikan,"Saya adalah spesialis subjek matematika freelance yang berpengalaman, mampu menjelaskan konsep-konsep matematika dengan cara yang mudah dipahami."
22,Pelayanan,"Saya adalah asisten koki harian yang berpengalaman, mampu membantu koki dalam mempersiapkan dan memasak makanan."
23,Pelayanan,"Saya adalah bartender harian yang berpengalaman, mampu membuat dan menyajikan berbagai jenis minuman kepada pelanggan."
24,Pelayanan,"Saya adalah petugas kolam renang harian yang berpengalaman, mampu menjaga kebersihan dan keamanan kolam renang."
25,Produksi,"Saya adalah anggota tim produksi freelance yang berpengalaman, mampu bekerja dalam tim untuk menghasilkan produk atau layanan berkualitas tinggi."
26,Pelayanan,"Saya adalah penerima pesanan yang berpengalaman, mampu mengambil dan memproses pesanan pelanggan dengan cepat dan akurat."
27,Teknologi,"Saya adalah pengembang web full-stack freelance yang berpengalaman, mampu merancang, mengembangkan, dan memelihara situs web dan aplikasi web."
28,Pelayanan,"Saya adalah anggota kru restoran yang berpengalaman, mampu melayani pelanggan, menjaga restoran tetap bersih dan rapi, dan bekerja dalam tim untuk memberikan pengalaman makan yang luar biasa."
29,Pelayanan,"Saya adalah pelayan harian yang berpengalaman, mampu melayani pelanggan di restoran atau kafe dan menjaga area makan tetap bersih dan rapi."
30,Pendidikan,"Saya adalah pengajar bahasa Inggris freelance yang berpengalaman, mampu mengajar bahasa Inggris dan membantu siswa mempersiapkan ujian SAT/IUP/KKI."
31,Teknisi,"Saya adalah teknisi mesin EDC yang berpengalaman, mampu memperbaiki dan merawat mesin EDC."
32,Pelayanan,Saya memiliki pengalaman dalam mencuci piring dan peralatan makan di restoran atau kafe.
33,Manajemen,"Saya memiliki pengalaman dalam mengelola operasional, termasuk koordinasi tim, penjadwalan, dan pemecahan masalah."
34,Logistik,"Saya memiliki pengalaman sebagai sopir logistik dengan SIM B2 Umum, mampu mengemudikan truk dan memastikan barang sampai ke tujuan dengan aman dan tepat waktu."
35,Pertukangan,Saya memiliki kemampuan dalam membuat pot tanaman yang indah dan fungsional.
36,Pelayanan,Saya memiliki pengalaman dalam memberikan layanan pelanggan yang luar biasa di hotel sebagai GSA.
37,Pelayanan,"Saya memiliki pengalaman sebagai tukang kebun, mampu merawat dan memelihara berbagai jenis tanaman dan taman."
38,Teknologi,Saya memiliki pengalaman dalam memberikan dukungan teknis untuk berbagai proyek IT.
39,Pendidikan,"Saya adalah spesialis subjek antropologi freelance yang berpengalaman, mampu menjelaskan konsep-konsep antropologi dengan cara yang mudah dipahami."
40,Pelayanan,Saya memiliki pengalaman dalam membersihkan dan merawat area umum seperti gedung.
41,Pelayanan,"Saya memiliki pengalaman sebagai pembantu rumah tangga, mampu melakukan berbagai tugas rumah tangga, termasuk membersihkan, memasak, dan merawat anak-anak."
42,Pelayanan,"Saya memiliki pengalaman sebagai satpam, mampu menjaga keamanan dan ketertiban di berbagai tempat."
43,Pendidikan,"Saya adalah guru privat yang berpengalaman, mampu mengajar calistung dan bahasa Inggris."
44,Media,"Saya memiliki pengalaman sebagai soundman harian, mampu mengoperasikan dan merawat peralatan suara untuk berbagai acara."
45,Teknisi,"Saya adalah teknisi harian yang berpengalaman, mampu memperbaiki dan merawat berbagai peralatan dan mesin."
46,Manajemen,Saya memiliki pengalaman untuk mengkoordinasikan dan mengawasi pekerjaan pembuatan furniture dan interior.
47,Pelayanan,Saya memiliki pengalaman  membantu tamu hotel dengan bagasi mereka dan mengemudikan mobil hotel.
48,Teknisi,"Saya memiliki pengalaman  merancang, mengawasi, dan memelihara berbagai proyek konstruksi."
49,Administratif,Saya memiliki pengalaman dalam mengelola transaksi keuangan di berbagai acara dan memastikan semua transaksi berjalan lancar dan akurat.
50,Pelayanan,"Saya memiliki pengalaman dalam membantu tamu hotel dengan bagasi mereka, menunjukkan mereka ke kamar mereka, dan memberikan layanan pelanggan yang luar biasa."
51,Media,"Saya memiliki pengalaman dalam berkolaborasi dengan host utama dalam siaran langsung, membantu menjaga percakapan tetap menarik dan berinteraksi dengan penonton."
52,Pelayanan ,"Saya memiliki pengalaman dalam merawat hewan peliharaan, termasuk memberi mereka makan, bermain dengan mereka, dan memastikan mereka aman dan nyaman."
53,Media,"Saya memiliki pengalaman dalam menjadi tuan rumah siaran langsung, menjaga percakapan tetap menarik, dan berinteraksi dengan penonton."
54,Administratif,"Saya memiliki pengalaman dalam mengelola transaksi keuangan di toko, membantu pelanggan, dan menjaga toko tetap rapi."
55,Logistik,"Saya memiliki pengalaman dalam memeriksa dan melacak inventaris di gudang, memastikan semua barang ditempatkan dengan benar dan stok selalu up-to-date."
56,Pendidikan,"Saya adalah guru privat yang berpengalaman, mampu mengajar bahasa Inggris."
57,Penjualan,"Saya adalah pemasar properti freelance yang berpengalaman, mampu menjual berbagai jenis properti dan menegosiasikan kesepakatan dengan pembeli."
58,Kreatif,"Saya adalah ilustrator freelance yang berpengalaman, mampu membuat ilustrasi yang menarik dan kreatif untuk berbagai proyek."
59,Pelayanan,"Saya memiliki pengalaman dalam memberikan dukungan untuk berbagai acara offline dan online, termasuk persiapan, koordinasi, dan pemecahan masalah."
60,Logistik,"Saya adalah pekerja harian packing yang berpengalaman, mampu memacking barang dengan cepat dan akurat."
61,Teknisi,"Saya adalah teknisi gedung yang berpengalaman, mampu memperbaiki dan merawat berbagai peralatan dan fasilitas gedung."
62,Logistik,"Saya adalah kuli kernet serabutan yang berpengalaman, mampu membantu dalam berbagai tugas logistik, termasuk memuat dan membongkar barang."
63,Logistik,Saya memiliki kemampuan mengurutkan dan memilah barang dengan cepat dan akurat.
64,Pendidikan,Saya memiliki kemampuan menyampaikan materi pelajaran dengan cara yang menarik dan dapat dipahami oleh siswa.
65,Pendidikan,"Saya memiliki pengalaman dalam bermain piano, keyboard, vokal, gitar, dan drum yang memungkinkan saya untuk menjadi pengajar dalam membimbing individu keterampilan musik."
66,Pendidikan,Saya memiliki pengalaman dalam dunia renang yang mampu untuk mengembangkan keterampilan renang seseorang dengan pendekatan yang menyenangkan dan aman di dalam air.
67,Pendidikan,Saya adalah guru privat yang berpengalaman yang mampu mengajar mengaji.
68,Logistik,Saya memiliki pengalaman mampu mengemudikan truk dan memastikan barang sampai ke tujuan dengan aman dan tepat waktu.
69,Logistik,"Saya adalah kenek driver harian yang berpengalaman, mampu membantu sopir dalam berbagai tugas, termasuk memuat dan membongkar barang."
70,Pelayanan,"Saya memiliki kemampuan untuk menjaga stand, melayani pelanggan dengan baik, dan memastikan stand selalu terjaga kebersihannya."
71,Logistik,"Saya memiliki pengalaman sebagai tenaga bongkar muat harian, mampu memuat dan membongkar barang dari truk atau kapal dengan cepat dan aman."
72,Pertanian,Saya memiliki kemampuan dalam memetik buah dan sayur dengan cepat dan akurat.
73,Pertanian,Saya memiliki kemampuan untuk menanam berbagai jenis tanaman dengan efisien.
74,Pertanian,"Saya memiliki kemampuan untuk melakukan berbagai tugas di lahan pertanian, termasuk persiapan tanah dan pemeliharaan tanaman."
75,Pertanian,Saya memiliki kemampuan untuk mengumpulkan hasil panen dengan cepat dan akurat.
76,Perikanan,"Saya memiliki pengalaman sebagai pemroses ikan harian, mampu memproses ikan dengan cepat dan akurat."
77,Perikanan,"Saya memiliki pengalaman sebagai penangkap ikan harian, mampu menangkap ikan dengan efisien dan aman."
78,Perikanan,"Saya memiliki pengalaman sebagai pekerja tambat, mampu menambatkan kapal dengan aman dan efisien."
79,Perikanan,"Saya memiliki pengalaman sebagai pemelihara perahu harian, mampu merawat dan memelihara perahu dengan baik."
